NN Archi.,#Br.,LR,Batch,#Layers,#Neurons,#Epochs,#EpochsRan,AUC,Sigif.,File
"[50, 50, 50, 1]",9,0.01,570,4,151,5,5,0.854585,0.331,2020_09_02_rocDataNN_22.20.35.csv
"[150, 100, 50, 1]",9,0.01,570,4,301,150,22,0.829371,0.338,2020_09_02_rocDataNN_22.54.17.csv
"[10, 10, 1]",9,0.01,570,3,21,150,24,0.854716,0.361,2020_09_02_rocDataNN_23.07.23.csv
"[10, 10, 5, 5, 3, 2, 1]",9,0.001,570,7,36,150,15,0.855001,0.262,2020_09_03_rocDataNN_02.01.20.csv
"[25, 20, 15, 10, 5, 2, 1]",9,0.001,570,7,78,150,20,0.852983,0.280,2020_09_03_rocDataNN_11.08.32.csv
"[25, 20, 25, 20, 5, 2, 1]",9,0.001,570,7,98,150,24,0.854001,0.370,2020_09_03_rocDataNN_16.43.07.csv
"[25, 25, 25, 25, 25, 25, 1]",9,0.001,570,7,151,150,27,0.847116,0.373,2020_09_03_rocDataNN_17.45.17.csv
"[50, 50, 50, 50, 50, 50, 1]",9,0.001,570,7,301,150,21,0.857047,0.380,2020_09_03_rocDataNN_18.09.09.csv
"[150, 150, 150, 150, 150, 150, 1]",9,0.001,570,7,901,150,31,0.857132,0.370,2020_09_03_rocDataNN_18.21.46.csv
"[500, 450, 350, 250, 150, 50, 1]",9,0.001,570,7,1751,150,24,0.858091,0.340,2020_09_03_rocDataNN_18.34.58.csv
"[50, 40, 30, 20, 10, 5, 1]",9,0.001,570,7,156,150,23,0.851890,0.376,2020_09_03_rocDataNN_18.46.23.csv
"[50, 40, 30, 20, 10, 5, 1]",9,0.001,570,7,156,150,17,0.854332,0.267,2020_09_03_rocDataNN_18.59.01.csv
"[50, 40, 30, 20, 10, 5, 1]",9,0.001,570,7,156,150,14,0.857777,0.361,2020_09_03_rocDataNN_19.07.08.csv
"[50, 40, 30, 20, 10, 5, 1]",9,0.001,570,7,156,150,15,0.853641,0.337,2020_09_03_rocDataNN_21.53.28.csv
"[10, 10, 1]",9,0.001,570,3,21,150,24,0.852240,0.376,2020_09_03_rocDataNN_22.41.46.csv
"[150, 150, 150, 150, 150, 150, 1]",127,0.0001,1024,7,901,150,31,0.954084,0.611,2020_09_10_rocDataNN_19.33.20.csv
"[150, 150, 150, 150, 150, 150, 1]",9,0.0001,1024,7,901,150,17,0.866636,0.396,2020_09_10_rocDataNN_19.43.09.csv
"[10, 10, 1]",127,0.0001,512,3,21,150,41,0.965096,0.751,2020_09_10_rocDataNN_20.10.32.csv
"[10, 10, 1]",127,0.0001,256,3,21,150,34,0.960443,0.688,2020_09_10_rocDataNN_21.05.37.csv
"[10, 10, 1]",127,0.0001,128,3,21,150,43,0.971979,0.921,2020_09_10_rocDataNN_21.45.42.csv
"[10, 10, 1]",127,0.0001,32,3,21,150,36,0.968384,0.685,2020_09_11_rocDataNN_01.39.35.csv
"[10, 10, 1]",9,0.0001,512,3,21,150,27,0.862205,0.316,2020_09_12_rocDataNN_21.36.22.csv
"[10, 10, 1]",11,0.0001,512,3,21,150,48,0.793559,0.206,2020_09_12_rocDataNN_21.48.01.csv
"[10, 10, 1]",22,0.0001,512,3,21,150,41,0.963793,0.621,2020_09_12_rocDataNN_22.03.48.csv
"[10, 10, 1]",22,0.0001,512,3,21,150,61,0.970076,0.723,2020_09_12_rocDataNN_22.24.19.csv
"[10, 10, 1]",116,0.0001,512,3,21,150,49,0.869851,0.296,2020_09_12_rocDataNN_22.50.57.csv
"[150, 150, 150, 150, 150, 150, 1]",116,0.0001,512,7,901,150,45,0.857004,0.330,2020_09_12_rocDataNN_23.21.17.csv
"[150, 150, 150, 150, 150, 150, 1]",127,0.0001,512,7,901,150,19,0.950023,0.622,2020_09_12_rocDataNN_23.34.12.csv
"[150, 150, 150, 150, 150, 150, 1]",127,0.0001,512,7,901,150,46,0.954811,0.702,2020_09_12_rocDataNN_23.54.18.csv
"[150, 150, 150, 150, 150, 150, 1]",127,0.0001,512,7,901,150,99,0.948740,0.704,2020_09_13_rocDataNN_00.30.53.csv
"[150, 150, 150, 150, 150, 150, 1]",127,0.001,512,7,901,150,150,0.921366,0.439,2020_09_13_rocDataNN_01.00.24.csv
"[150, 150, 150, 150, 150, 150, 1]",127,0.001,512,7,901,150,72,0.952651,0.618,2020_09_13_rocDataNN_01.19.56.csv
"[150, 150, 150, 150, 150, 150, 1]",13,0.0001,512,7,901,150,20,0.971865,0.933,2020_09_13_rocDataNN_18.14.24.csv
"[150, 150, 150, 150, 150, 150, 1]",119,0.0001,512,7,901,150,50,0.850070,0.312,2020_09_16_rocDataNN_22.38.50.csv
"[150, 150, 150, 150, 150, 150, 1]",130,0.0001,512,7,901,150,20,0.945213,0.530,2020_09_16_rocDataNN_22.50.06.csv
"[150, 150, 150, 150, 150, 150, 1]",143,0.0001,512,7,901,150,32,0.953388,0.695,2020_09_16_rocDataNN_23.04.20.csv
"[150, 150, 150, 150, 150, 150, 1]",143,0.0001,512,7,901,150,28,0.961306,0.638,2020_09_16_rocDataNN_23.23.47.csv
"[150, 150, 150, 150, 150, 150, 1]",38,0.0001,512,7,901,150,39,0.979609,0.893,2020_09_16_rocDataNN_23.40.09.csv
